"cc_saldo_atual","cc_saldo_medio","credit_card_limite","qtd_fin_imobiliario","qtd_mensal_cheques","qtd_pag_automovel","qtd_trans_atm","qtd_trans_kiosk","qtd_trans_teller","qtd_trans_web","retirada_mensal","valor_fin_imobiliario","valor_fundos_bancarios","classe_ltv","ltv","estado","estado_civil","idade","n_dependentes","profissao","proprietario_casa","proprietario_veiculo","regiao","salario","sexo","tem_filho","tem_seguro_imobiliario","tempo_cliente_anos","nome_sobrenome"
7863,0,1000,1,2,8628,3,0,0,2000,53.36,2000,0,"high",24891.25,"mi","divorced",43,0,"not specified",1,1,"midwest",58365,"m",1,0,2,"pollock_randell"
25,0,1000,1,0,0,0,1,1,2000,53.06,2000,0,"high",23638.5,"nv","divorced",30,3,"lab technician",1,1,"southwest",60554,"m",0,0,3,"lawrence_gregorio"
168,0,4000,1,3,1672,4,1,6,7250,53.8,7250,6500,"very high",35600.5,"mi","married",39,1,"prof-16",1,1,"midwest",92802,"f",0,0,1,"carey_mozella"
25,0,700,1,0,0,0,1,0,1001,53.06,1001,0,"high",26070,"nm","married",52,3,"cashier",1,1,"southwest",59480,"m",0,0,4,"priest_dorsey"
25,0,1500,1,14,679,2,1,1,2500,53.11,2500,0,"high",25092.75,"ny","divorced",27,1,"it staff",1,1,"northeast",75571,"m",1,0,1,"whitney_tracey"
25,0,1500,1,0,506,0,1,1,1840,53.06,1840,0,"high",27149,"ca","divorced",36,3,"dba",1,1,"west",72196,"m",0,0,3,"dye_dirk"
25,0,1500,1,3,702,1,8,2,700,53.07,700,250,"high",27342.5,"ca","married",33,3,"programmer/developer",1,1,"west",74170,"m",0,1,3,"harden_roberto"
25,0,800,1,2,4988,5,1,1,5000,54.33,15000,14000,"high",23786,"dc","other",56,2,"it staff",1,1,"northeast",64744,"f",1,0,2,"traylor_leonie"
25,0,2500,1,1,787,5,0,1,1200,54.21,1200,3000,"high",25530.25,"fl","married",50,3,"clerical",1,1,"south",80121,"m",1,1,3,"hemphill_sherman"
1540,0,1500,1,3,2409,5,1,3,1450,54.49,1450,1450,"medium",20978.5,"ny","married",27,5,"bank teller",1,1,"northeast",63114,"f",0,1,5,"reeves_luella"
89,0,1500,0,4,173,3,1,2,0,53.23,0,600,"low",9603,"ny","single",26,3,"programmer/developer",0,1,"northeast",66012,"m",1,1,3,"gagne_alec"
251,0,1000,1,4,543,4,1,1,450,53.47,450,700,"medium",18586.75,"nc","single",21,3,"veterinarian",1,1,"south",63947,"m",1,1,3,"hartman_lynwood"
25,0,900,1,0,0,2,0,2,826,53.13,826,501,"medium",20439,"wi","married",48,3,"waiter/waitress",1,1,"midwest",60556,"m",1,0,3,"hyde_raleigh"
1262,0,1000,1,6,1614,4,1,1,300,53.41,1500,1300,"medium",19845.75,"ny","married",27,3,"lab technician",1,1,"northeast",66583,"m",1,1,3,"dowell_waylon"
25,0,1000,1,11,242,2,1,3,400,53.17,400,700,"medium",20400.5,"mn","single",26,3,"programmer/developer",1,1,"west",69202,"m",1,1,3,"hogue_patrick"
25,0,1000,1,1,270,4,1,2,250,53.42,250,550,"medium",18977.75,"ca","single",25,3,"programmer/developer",1,1,"west",63911,"m",1,1,3,"corona_cliff"
25,0,1000,1,0,0,1,1,0,176,53.07,176,0,"high",23063.25,"mn","single",18,3,"nurse",1,1,"west",63053,"m",0,0,3,"pickens_garth"
1293,783,1000,0,5,2171,2,1,2,0,53.17,0,300,"low",13526.25,"ca","single",25,3,"programmer/developer",0,1,"west",62105,"m",0,0,3,"benjamin_pablo"
25,0,1000,0,0,0,0,1,0,0,53.06,0,0,"medium",14802.25,"ca","single",28,3,"nurse",0,0,"west",66009,"m",0,0,3,"moyer_jerome"
